Wersja j?zykowa (PL/EN),Zgoda na udzia? (wszyscy = 1),Kod polecaj?cy (nieobligatoryjne),"Po raz kt¢ry gra (1 = 1, 2 = 2, 3 = 3, 4 i 4+ = 4)","P?e? (M??czyzna, Kobieta, Inna)",Skala Kinseya (0-6),"Biseksualno?? - scenariusz z kobiet? = F, scenariusz z m??czyzn? = M)",Wiek,"PozytywnaPrezentacja1 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja2 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja3 (a= sexy, b = kind,c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja4 (a= sexy, b = kind, c = wealthy, d = healthy, e = artyzm)","PozytywnaPrezentacja5 (a= sexy, b = kind, c = wealthy, d = healthy, e = artistic)","PozytywnaPrezentacja6 (a= sexy, b = kind, c = wealthy, d= healthy,  e= artistic)","ObrzydliwaPrezencja1 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja2 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja3 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja4 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja5 (a = patogen, b = sex, c = moral)","ObrzydliwaPrezencja6 (a = patogen, b = sex, c = moral)",Tybur1 (0-6),Tybur2 (0-6),Tybur3(0-6),Tybur4 (0-6),Tybur5 (0-6),Tybur6(0-6),Tybur7 (0-6),Tybur8 (0-6),Tybur9 (0-6),Tybur10 (0-6),Tybur11 (0-6),Tybur12 (0-6),Tybur13 (0-6),Tybur14 (0-6),Tybur15 (0-6),Tybur16 (0-6),Tybur17 (0-6),Tybur18 (0-6),Tybur19 (0-6),Tybur20 (0-6),Tybur21 (0-6),SelfArt (1-11),SelfHealth (1-11),SelfKind (1-11),SelfSexy (1-11),SelfWealth (1-11),IdealArt (1-11),IdealHealth (1-11),IdealKind (1-11),IdealSexy (1-11,IdealWealth (1-11),HasChildren?,HowManyKids,YoungestKidAge,OldestKidAge,"MilkVSCereal (a - milk first, b- cereal first)",attention check,relationship status,timestamp
en,TRUE,game,1,m,0,f,27,b,c,e,e,b,c,c,b,b,a,a,c,5,4,4,4,5,5,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,3,5,5,3,8,3,5,6,6,5,No,0,,,a,2,single,2/23/2023 23:53:42
pl,TRUE,AB12,1,f,0,m,23,d,a,b,d,a,b,c,c,a,b,b,b,1,5,6,6,6,0,1,3,6,6,0,5,4,0,4,1,6,5,5,6,6,6,10,8,10,7,6,8,11,10,10,Nie,0,,,a,2,in relationship,12/28/2022 17:16:57
pl,TRUE,KG0902,1,m,1,f,24,e,a,d,c,a,a,c,c,b,b,c,b,3,2,4,5,0,5,1,0,3,5,1,6,3,0,5,4,0,5,4,1,6,3,9,8,6,6,7,9,9,7,6,Nie,0,,,a,2,single,1/29/2023 15:49:34
pl,TRUE,,1,f,3,f,22,e,e,e,b,b,b,c,a,b,c,a,c,1,3,4,5,0,0,1,3,2,5,3,2,1,0,0,5,6,0,1,0,3,7,3,9,6,6,3,6,7,6,6,Nie,0,,,b,2,in relationship,1/30/2023 12:16:18
en,TRUE,,1,f,3,f,25,e,c,e,c,e,b,c,b,a,a,a,a,1,5,4,5,2,1,1,2,1,5,4,2,3,1,2,3,5,5,4,0,5,7,6,7,8,7,7,7,11,11,9,No,0,,,b,2,in relationship,2/6/2023 22:40:39
en,TRUE,game,2,f,6,f,27,b,b,b,e,b,b,c,c,c,a,b,a,6,3,5,6,3,6,5,6,5,6,4,5,6,5,6,5,4,5,5,6,5,9,9,10,8,10,9,11,11,10,8,Yes,2,3,5,a,2,in relationship,2/6/2023 20:41:39
en,TRUE,123,1,f,5,f,35,e,c,d,a,c,d,b,a,b,b,b,c,4,5,4,3,5,6,5,4,5,6,5,5,3,4,5,3,4,5,4,3,5,6,5,4,7,4,3,2,8,4,5,Yes,10,12,16,a,2,in relationship,3/29/2023 16:15:25
en,TRUE,game,1,m,4,m,30,e,e,d,a,e,c,a,b,b,b,c,a,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,1,2,2,1,2,No,0,,,b,2,single,3/7/2023 19:14:05
en,TRUE,game,1,m,0,f,40,e,e,e,e,e,e,a,a,b,c,c,a,4,3,4,6,0,3,2,0,1,6,3,4,4,0,3,2,4,3,3,0,2,6,5,7,5,4,6,6,9,7,7,No,0,,,b,2,in relationship,2/24/2023 0:02:49
pl,TRUE,KG0902,1,f,0,m,40,a,a,e,a,e,b,b,b,c,b,b,b,1,1,5,6,0,2,4,1,2,6,2,5,5,1,2,2,1,4,4,1,1,2,5,9,4,6,4,4,8,6,8,Tak,1,10,,b,2,in relationship,1/4/2023 10:02:52
en,TRUE,,2,f,5,f,32,d,e,e,e,c,c,b,a,a,c,a,c,4,3,4,5,3,5,5,4,3,4,5,4,3,4,4,3,4,5,5,4,5,9,9,9,9,9,10,9,9,9,10,Yes,2,5,1,a,2,in relationship,2/6/2023 20:59:19
en,TRUE,game,1,f,0,m,27,c,b,b,d,e,c,c,a,a,b,a,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,Yes,2,2,3,a,2,in relationship,3/29/2023 17:57:17
en,TRUE,game,1,f,6,f,50,d,e,d,d,b,c,a,b,b,a,c,c,2,2,1,1,2,2,3,2,2,3,2,3,3,4,3,2,3,4,3,5,4,2,3,4,3,6,4,6,2,3,4,Yes,2,14,17,b,2,in relationship,3/14/2023 4:11:04
en,TRUE,game,2,m,5,m,32,e,a,d,d,d,a,c,c,c,a,b,a,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,Yes,2,6,12,a,5,in relationship,2/6/2023 20:36:29
en,TRUE,game,2,m,6,m,30,e,e,b,e,c,c,b,c,b,c,a,c,5,6,6,6,3,6,6,6,6,3,6,2,2,2,3,6,6,6,6,6,5,3,6,7,5,6,3,7,7,6,6,No,0,,,b,2,in relationship,3/29/2023 20:33:44
pl,TRUE,AB12,1,f,0,m,20,e,c,a,d,c,b,a,c,c,a,b,c,4,5,5,6,4,4,3,3,3,6,4,4,5,6,4,6,6,5,5,4,5,6,9,7,7,7,6,9,8,7,7,Nie,0,,,b,2,single,12/20/2022 21:32:50
en,TRUE,,1,f,6,f,49,a,e,b,b,b,c,c,b,a,a,a,a,6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,11,6,6,6,8,11,11,8,Yes,2,17,21,b,2,in relationship,2/6/2023 23:05:41
pl,TRUE,KG0902,1,m,2,f,22,e,a,e,d,a,b,a,c,b,b,c,b,3,0,1,6,0,1,1,0,1,6,0,4,0,0,2,5,4,1,3,0,0,5,7,10,9,6,6,7,7,7,7,Nie,0,,,b,2,single,1/7/2023 16:35:45
en,TRUE,game,1,f,0,m,43,e,c,c,d,b,b,b,b,c,b,c,a,5,4,4,4,5,5,4,4,3,4,4,4,3,2,3,4,5,4,4,5,5,7,6,3,6,5,11,10,10,9,11,Yes,2,12,6,b,2,in relationship,3/7/2023 20:06:02
en,TRUE,game,2,m,0,f,41,e,a,a,a,a,e,c,a,c,b,a,a,6,5,5,6,4,4,6,5,5,6,3,5,6,4,5,5,6,2,5,5,5,6,7,9,6,6,6,7,8,6,6,Yes,2,13,16,b,2,in relationship,3/7/2023 19:11:40
en,TRUE,game,1,m,0,f,30,c,d,d,a,c,e,b,b,a,c,b,c,5,4,5,4,5,4,5,4,5,4,5,5,4,5,3,4,5,4,5,4,5,6,7,6,5,6,6,6,6,6,6,Yes,1,4,,b,2,in relationship,3/21/2023 13:52:08
pl,TRUE,,1,f,5,f,21,a,c,b,b,a,d,c,b,c,b,b,c,1,2,2,4,0,1,0,0,1,3,3,1,1,0,3,3,6,4,1,0,0,7,3,7,8,9,7,7,8,9,7,Nie,0,,,a,2,in relationship,1/12/2023 22:49:12
pl,TRUE,AB12,1,m,0,f,24,e,a,a,a,a,a,b,b,b,a,c,b,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,8,9,8,1,9,10,10,7,Nie,0,,,a,6,other,1/22/2023 14:30:01
pl,TRUE,KG0902,1,f,1,m,23,e,c,d,d,c,a,c,a,c,b,a,a,3,1,4,5,0,1,3,0,1,6,1,2,3,1,2,3,1,3,3,1,4,5,6,7,6,7,5,8,7,6,7,Nie,0,,,b,2,in relationship,1/8/2023 21:04:01
pl,TRUE,AB12,1,f,1,m,26,b,a,d,e,c,e,c,a,b,a,b,b,6,3,6,6,0,3,3,0,3,6,5,6,6,0,4,2,6,6,6,0,6,3,7,6,6,6,2,6,10,6,6,Nie,0,,,b,2,in relationship,12/28/2022 8:58:19
en,TRUE,game,4,m,4,m,34,c,b,e,c,a,c,c,a,c,a,b,b,2,4,2,1,2,3,4,5,3,2,3,2,3,4,2,5,2,4,2,5,3,4,2,3,3,4,4,4,3,4,2,Yes,2,3,6,b,4,in relationship,2/6/2023 20:36:52
pl,TRUE,AB12,1,f,1,m,23,d,c,a,a,a,d,c,b,c,a,b,b,3,4,5,5,4,3,4,0,2,6,6,5,4,3,4,5,6,2,5,2,0,6,9,9,6,7,6,9,8,10,9,Nie,0,,,a,2,in relationship,12/27/2022 23:36:14
en,TRUE,,1,f,1,m,42,d,b,d,b,c,e,c,b,b,b,c,b,0,1,1,1,1,1,1,1,0,0,2,1,1,0,0,1,0,1,2,1,2,5,8,8,8,7,11,8,8,8,8,Yes,1,8,,a,2,in relationship,2/6/2023 20:26:50
en,TRUE,,1,m,0,f,39,c,a,c,b,b,d,c,b,a,a,b,b,3,6,6,6,4,0,3,0,3,0,0,3,5,0,5,3,6,1,3,3,5,6,7,8,6,6,5,6,7,7,8,Yes,2,5,9,b,2,in relationship,3/29/2023 16:41:46
en,TRUE,game,2,m,6,m,32,c,a,b,e,e,e,a,b,a,c,b,a,3,1,5,5,0,0,4,0,1,6,1,1,4,2,1,5,3,4,4,0,1,9,6,9,7,6,7,6,9,7,6,No,0,,,b,2,single,2/7/2023 1:06:58
en,TRUE,,1,m,0,f,30,e,c,e,a,b,d,a,c,c,c,c,a,3,0,1,0,0,0,2,0,1,1,1,1,1,0,1,1,0,1,2,0,1,6,8,8,9,6,7,8,8,9,6,Yes,1,2,,a,2,in relationship,2/6/2023 21:24:35
pl,TRUE,ab12,1,f,4,f,26,e,c,c,b,a,e,b,b,a,c,b,c,0,0,4,6,0,0,1,2,1,6,0,4,0,0,1,2,1,4,4,0,4,8,6,9,10,3,6,8,11,9,8,Nie,0,,,b,2,in relationship,2/5/2023 19:56:33
en,TRUE,game,2,m,4,m,32,d,c,b,b,c,c,a,a,a,c,b,c,4,5,6,5,5,6,4,2,3,1,4,3,5,6,5,2,4,5,4,6,5,2,5,5,3,3,3,4,7,4,6,Yes,1,4,,a,4,in relationship,3/7/2023 21:09:08
en,TRUE,,1,f,6,f,30,b,b,d,b,b,d,c,a,b,b,c,c,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,9,8,9,7,7,9,10,8,Yes,2,8,2,a,2,in relationship,3/29/2023 16:34:56
en,TRUE,,1,m,1,f,32,c,c,c,b,c,c,c,a,b,a,c,b,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,10,9,5,8,4,8,7,8,8,Yes,2,3,5,b,2,in relationship,2/24/2023 0:04:48
pl,TRUE,KG0902,1,m,0,f,21,a,a,a,e,c,a,a,b,a,b,a,c,0,3,6,3,0,3,0,1,5,6,6,6,0,0,1,0,5,5,3,0,3,6,6,6,6,6,11,6,11,11,7,Nie,0,,,b,2,in relationship,1/8/2023 11:01:49
en,TRUE,game,1,m,0,f,32,e,d,a,a,d,c,b,a,b,c,a,b,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,9,8,9,9,9,9,8,9,8,9,No,0,,,b,2,in relationship,2/24/2023 0:46:41
pl,TRUE,AB12,2,m,0,f,26,c,e,d,b,e,e,b,c,b,c,b,a,3,3,4,6,1,4,3,1,4,5,3,4,4,4,4,5,5,5,5,4,4,9,7,7,7,7,8,8,8,8,7,Nie,0,,,b,2,in relationship,2/19/2023 12:06:21
pl,TRUE,AB12,1,f,3,f,26,a,a,a,b,a,e,c,b,a,a,b,b,3,0,5,5,0,1,0,0,6,6,3,2,1,1,2,5,1,0,4,6,1,9,3,10,2,2,6,6,9,6,7,Nie,0,,,b,0,in relationship,1/24/2023 16:12:38
pl,TRUE,,1,f,0,m,23,a,e,a,d,a,e,c,c,a,c,c,a,3,6,4,3,6,6,1,3,2,5,6,5,4,6,5,5,6,6,5,6,5,3,6,6,6,6,6,6,7,6,7,Nie,0,,,a,2,in relationship,1/12/2023 22:52:40
pl,TRUE,KG0902,1,f,2,m,21,e,c,e,c,c,e,c,b,c,c,b,c,1,2,4,2,3,4,1,0,3,4,3,3,2,0,3,4,5,5,4,3,4,9,8,7,9,6,7,8,8,10,9,Nie,0,,,b,2,in relationship,1/5/2023 14:45:51
en,TRUE,,1,m,1,f,23,d,d,c,b,b,b,b,c,c,c,a,c,3,3,5,4,3,5,4,3,5,4,5,3,5,3,5,3,5,3,4,5,3,8,9,8,9,7,10,9,9,10,9,Yes,2,1,3,a,2,in relationship,3/29/2023 16:16:46
pl,TRUE,ab12,1,f,3,f,39,a,a,e,d,d,d,a,b,b,c,c,a,0,3,5,3,3,3,3,0,3,3,5,4,1,0,2,2,4,6,3,4,6,6,9,8,7,7,6,7,9,10,9,Tak,11,8,8,a,2,in relationship,12/27/2022 23:52:24
pl,TRUE,AB12,1,f,0,m,22,a,c,a,b,e,e,c,c,a,a,c,a,1,4,5,6,6,3,0,6,3,5,5,3,4,6,3,4,2,2,6,6,1,6,5,7,5,7,6,5,8,8,7,Nie,0,,,b,2,in relationship,12/29/2022 0:33:06
en,TRUE,game,1,m,1,f,28,d,e,b,c,c,e,c,b,a,c,a,c,2,0,2,3,1,0,3,1,0,4,3,1,4,0,3,2,3,1,2,1,2,4,6,7,7,9,6,6,8,7,6,No,0,,,b,2,single,2/6/2023 20:27:20
en,TRUE,game,1,m,0,f,35,d,e,c,b,b,c,c,c,c,c,b,a,3,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,4,7,7,8,7,8,6,8,7,8,7,Yes,1,5,,b,2,in relationship,3/29/2023 16:15:11
pl,TRUE,KG0902,1,f,0,m,20,b,a,c,e,a,e,a,b,c,c,b,c,0,1,5,3,0,0,0,0,6,5,4,6,5,1,2,2,6,6,1,0,1,6,8,5,8,8,6,8,9,10,11,Nie,0,,,b,2,in relationship,1/8/2023 20:39:24
en,TRUE,game,1,f,5,f,25,d,d,a,e,d,a,b,c,a,b,a,b,4,3,2,3,4,3,3,4,5,4,4,4,3,4,4,3,5,4,3,4,5,5,3,3,3,5,2,4,4,5,3,No,0,,,a,2,in relationship,3/29/2023 16:11:56
pl,TRUE,KG0902,1,m,0,f,21,e,c,c,e,a,e,a,c,a,a,b,c,0,1,5,2,0,2,0,0,2,1,3,4,0,1,3,0,3,6,0,2,0,4,7,6,6,8,7,9,9,7,6,Nie,0,,,b,2,in relationship,1/15/2023 1:00:31
en,TRUE,game,1,m,5,m,23,d,e,b,d,a,e,c,c,b,c,a,c,5,6,5,6,5,6,5,6,5,6,5,5,5,6,5,6,5,6,5,6,5,4,9,7,4,5,4,4,5,6,5,Yes,2,,2,a,2,in relationship,3/29/2023 17:05:27
en,TRUE,game,1,m,5,m,30,d,d,b,c,c,a,a,b,c,c,a,a,4,3,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,4,6,7,7,6,7,7,7,7,6,7,Yes,2,10,12,a,2,in relationship,3/11/2023 0:13:08
pl,TRUE,,1,m,6,m,22,e,a,d,d,d,e,b,a,b,c,a,a,2,0,1,6,0,1,6,3,3,6,4,2,2,0,6,0,6,2,3,0,0,6,11,10,11,10,7,11,9,8,9,Nie,0,,,b,2,single,2/12/2023 4:45:47
en,TRUE,game,1,m,0,f,25,c,d,d,d,c,e,b,b,b,c,a,a,2,5,4,6,0,4,0,0,5,4,0,5,4,1,1,1,5,4,3,1,4,3,7,4,7,6,5,7,8,8,7,No,0,,,b,2,single,2/7/2023 0:33:31
pl,TRUE,,1,m,1,f,28,e,c,e,a,a,e,a,c,b,c,c,a,0,0,0,1,0,2,1,0,1,4,1,2,1,1,2,1,2,3,4,1,5,9,9,8,6,7,6,8,8,6,7,Nie,0,,,b,2,in relationship,12/16/2022 16:58:46
pl,TRUE,KG0902,1,f,2,m,26,e,c,a,a,a,a,c,b,b,a,b,b,0,2,2,0,0,3,0,0,2,5,0,5,0,0,2,1,6,6,1,0,1,4,4,7,6,6,4,6,9,7,6,Nie,0,,,b,2,in relationship,1/8/2023 10:28:36
en,TRUE,game,1,m,0,f,36,e,a,e,b,a,e,c,b,a,c,c,c,2,4,5,6,1,3,2,2,3,5,4,4,5,3,4,3,2,5,4,4,6,6,6,7,7,7,6,7,8,8,6,No,0,,,b,2,in relationship,2/6/2023 22:40:12
pl,TRUE,,1,f,3,f,22,b,a,d,c,d,e,a,a,a,c,b,c,1,1,4,4,0,0,0,0,2,5,6,5,2,0,1,1,5,4,3,0,0,6,7,9,7,6,7,8,8,7,6,Nie,0,,,a,2,single,1/29/2023 17:29:03
en,TRUE,game,1,m,1,f,34,a,e,b,a,e,b,c,a,c,c,c,c,3,1,1,1,2,3,4,2,4,4,3,3,3,3,3,3,2,4,3,2,2,9,9,8,9,8,8,9,9,9,9,Yes,1,3,,a,2,in relationship,2/24/2023 0:59:58
en,TRUE,game,1,m,0,f,52,b,e,b,b,e,a,c,a,b,c,c,a,6,4,5,6,5,5,5,4,5,6,5,2,5,5,3,5,5,4,5,5,4,11,11,11,11,11,8,9,7,9,8,Yes,1,1,,a,2,in relationship,2/6/2023 20:36:43
en,TRUE,game,1,f,0,m,29,c,b,e,c,b,e,b,b,a,b,a,c,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,6,7,6,7,6,Yes,1,5,,b,2,in relationship,3/21/2023 13:43:56
pl,TRUE,340164,1,m,0,f,20,e,e,b,b,a,d,b,c,c,a,b,c,4,1,5,4,0,3,0,0,2,5,0,6,3,0,3,0,1,3,1,5,1,3,8,7,6,6,3,11,8,10,9,Nie,0,,,b,2,in relationship,2/20/2023 8:34:00
en,TRUE,game,1,f,6,f,25,d,d,c,c,c,e,c,c,a,b,a,c,3,4,5,4,3,4,3,4,5,4,3,3,4,3,4,3,4,3,4,3,5,4,1,4,7,7,5,6,6,5,3,Yes,2,3,5,a,2,in relationship,3/29/2023 16:19:57
en,TRUE,,1,m,0,f,51,a,a,e,e,c,e,c,b,b,b,c,c,0,0,4,2,0,2,0,0,4,0,0,3,0,0,4,0,0,5,0,0,2,6,5,8,6,1,6,8,8,6,6,Yes,1,25,,b,2,in relationship,2/24/2023 3:00:26
en,TRUE,game,1,m,6,m,23,b,c,c,a,a,b,c,c,b,c,b,b,5,4,3,2,3,4,5,4,3,4,5,3,4,3,2,3,4,5,5,6,6,6,6,6,5,7,7,7,9,8,7,Yes,1,3,,a,2,in relationship,3/7/2023 20:51:08
en,TRUE,game,1,m,5,m,42,d,c,c,d,c,b,a,b,c,b,b,b,4,5,4,3,6,6,4,5,6,5,4,2,5,6,5,4,4,3,4,5,6,2,6,4,5,2,4,6,3,6,2,Yes,2,9,2,a,2,in relationship,2/6/2023 20:37:45
pl,TRUE,INSTAGRAM STUDY,1,f,0,m,21,e,b,d,e,e,e,a,a,c,c,c,a,2,4,5,3,0,1,1,2,3,4,6,3,5,6,3,5,6,2,3,0,1,11,6,8,6,6,6,6,9,6,6,Nie,0,,,b,2,in relationship,1/23/2023 23:04:25
en,TRUE,game,1,m,5,m,40,e,d,d,e,a,b,c,a,b,a,b,b,4,3,4,5,4,5,3,5,4,3,4,4,5,3,4,5,4,3,4,5,4,4,5,5,5,7,4,5,5,7,5,Yes,1,5,,b,2,in relationship,2/6/2023 20:34:42
pl,TRUE,INSTAGRAM STUDY,1,f,3,f,19,e,e,e,b,a,b,a,c,a,c,a,b,1,4,1,4,4,1,1,2,1,3,3,1,3,3,2,3,2,3,3,4,3,9,8,8,7,6,7,7,8,8,9,Nie,0,,,b,2,single,2/7/2023 18:08:49
en,TRUE,game,1,f,0,m,43,e,c,b,d,d,b,a,c,a,b,c,b,4,2,3,4,1,2,3,1,5,5,4,2,4,4,5,4,4,2,3,2,2,4,8,7,7,7,6,8,8,8,8,Yes,3,10,22,b,2,in relationship,2/6/2023 22:35:45
en,TRUE,game,1,m,2,f,30,b,c,c,a,d,a,c,b,a,a,a,a,3,2,3,3,4,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,3,5,8,6,9,6,7,6,7,6,8,Yes,2,3,5,a,2,in relationship,3/29/2023 16:19:50
en,TRUE,game,1,f,0,m,29,c,d,a,b,b,c,b,c,a,c,b,a,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,4,6,6,7,5,No,0,,,b,2,single,3/21/2023 13:35:21
en,TRUE,game,1,f,0,m,50,d,e,b,b,d,e,c,c,c,a,b,c,4,3,4,4,4,3,0,0,3,3,3,3,3,4,3,3,3,4,3,3,3,3,10,9,9,9,5,6,9,9,9,Yes,1,6,,b,2,in relationship,2/24/2023 2:17:39
en,TRUE,game,1,f,5,f,34,c,c,e,d,e,e,a,b,a,c,a,a,3,4,5,5,0,2,4,3,1,5,3,3,6,1,4,5,6,4,4,1,3,7,8,6,8,3,8,8,8,8,7,No,0,,,b,2,in relationship,2/7/2023 0:39:31
pl,TRUE,AC3,1,m,0,f,26,c,a,d,a,a,e,b,a,c,a,c,c,0,0,6,0,0,4,0,0,0,0,0,1,0,0,5,0,0,2,0,0,1,4,8,5,6,6,9,7,7,8,6,Nie,0,,,b,2,in relationship,2/10/2023 14:13:41
pl,TRUE,,1,f,2,m,23,a,e,d,d,c,b,c,c,c,a,c,c,2,2,2,3,0,1,0,0,3,2,1,1,3,2,2,1,3,5,3,0,1,4,8,10,8,10,6,9,9,9,9,Nie,0,,,b,2,in relationship,1/10/2023 13:28:37
en,TRUE,game,1,m,1,f,58,d,d,d,e,d,c,c,a,c,c,c,b,2,3,2,4,2,5,2,5,1,4,2,1,4,2,3,5,1,5,1,5,4,4,3,3,4,8,4,8,8,9,4,Yes,1,5,,a,2,in relationship,3/21/2023 13:39:05
en,TRUE,game,1,m,0,f,35,a,a,d,d,b,c,c,a,a,c,a,c,4,5,4,4,5,4,5,5,6,5,5,5,5,6,5,5,5,5,4,6,5,2,6,4,7,2,2,6,4,4,2,Yes,1,8,,a,2,in relationship,3/29/2023 16:13:51
en,TRUE,,1,f,0,m,47,c,e,c,e,d,b,c,b,a,a,a,c,3,3,2,3,3,4,3,3,2,3,3,2,2,3,2,3,2,3,2,2,3,6,5,6,6,6,6,6,5,6,6,Yes,2,13,18,b,2,in relationship,3/29/2023 18:47:08
pl,TRUE,AB12,1,m,0,f,22,e,e,e,a,b,d,c,c,b,b,a,c,3,0,2,4,0,0,0,0,1,6,0,2,2,2,3,2,0,2,1,1,3,1,10,8,8,9,11,11,11,11,11,Nie,0,,,a,2,single,2/13/2023 15:24:26
en,TRUE,game,1,m,4,m,61,b,c,b,e,e,b,a,a,a,b,c,c,1,1,0,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,6,6,5,7,4,6,6,7,7,5,Yes,2,15,20,a,2,in relationship,3/7/2023 18:59:25
pl,TRUE,,2,m,5,m,19,e,b,b,a,b,c,a,a,a,b,b,b,0,0,3,6,0,0,0,0,6,3,6,6,3,3,6,0,3,0,0,0,5,6,6,6,8,6,11,6,10,6,6,Nie,0,,,a,2,in relationship,2/17/2023 15:06:04
en,TRUE,game,1,m,0,f,33,e,b,e,b,a,b,c,b,c,c,c,a,1,2,3,3,1,2,2,1,3,3,2,2,3,2,3,3,1,2,3,1,3,8,6,6,6,7,6,6,8,6,6,No,0,,,b,2,single,2/6/2023 22:13:02
en,TRUE,,1,f,2,m,28,e,e,a,c,a,a,a,b,b,b,c,b,1,1,6,6,0,2,3,1,3,5,2,5,6,1,4,6,6,6,6,6,6,7,6,7,7,7,6,6,8,7,7,No,0,,,b,2,in relationship,2/24/2023 1:44:56
en,TRUE,48038,4,f,3,f,25,e,e,e,b,e,c,c,a,c,a,b,a,6,5,4,5,4,5,6,5,4,5,4,3,4,3,4,5,4,3,4,3,4,7,6,8,6,6,7,8,7,8,7,Yes,2,5,2,b,2,in relationship,2/23/2023 23:50:34
en,TRUE,game,1,f,2,m,20,e,e,c,e,d,b,a,a,b,c,b,c,2,5,6,6,4,5,5,5,3,5,6,3,6,2,4,6,4,5,6,4,5,9,6,7,5,7,7,7,8,6,6,No,0,,,b,2,single,2/6/2023 22:57:22
pl,TRUE,,1,f,3,f,19,e,c,a,e,b,b,c,c,b,c,b,b,1,2,2,2,1,1,3,0,2,4,0,3,3,0,2,1,4,5,3,0,6,6,7,9,2,6,7,7,8,6,7,Nie,0,,,a,2,single,2/12/2023 12:22:55
en,TRUE,"""game""",1,f,1,m,28,e,b,e,c,d,e,a,b,a,c,c,c,5,4,3,4,5,5,4,3,5,4,5,4,3,4,3,4,4,3,5,4,5,10,10,10,11,11,10,10,11,10,11,Yes,2,3,5,a,2,in relationship,2/6/2023 20:56:40
pl,TRUE,,1,f,1,m,27,e,c,b,b,c,e,c,b,b,c,b,b,5,0,6,5,0,3,2,1,4,6,0,4,6,3,5,3,5,6,6,2,2,7,4,9,7,8,5,11,11,7,8,Nie,0,,,a,2,in relationship,1/10/2023 14:17:37
pl,TRUE,,1,f,1,m,26,d,a,e,b,e,e,c,a,b,c,a,b,2,4,5,4,2,1,0,3,2,3,4,1,1,3,2,4,2,3,4,3,2,5,5,7,6,4,3,7,6,6,7,Nie,0,,,a,2,single,12/16/2022 20:14:59
pl,TRUE,KG0902,1,f,0,m,40,c,d,b,d,d,e,c,a,c,a,c,b,5,4,6,6,6,4,3,6,5,6,3,0,2,4,4,1,4,3,4,6,4,2,9,9,6,6,7,10,10,7,7,Tak,2,2,9,b,1,in relationship,1/4/2023 10:23:49
en,TRUE,game,1,f,0,m,25,c,c,e,b,c,d,c,a,a,b,a,a,4,3,4,3,4,3,0,0,3,3,3,3,4,3,4,3,4,3,4,3,4,2,2,3,4,3,5,5,5,2,5,No,0,,,b,2,in relationship,2/6/2023 20:51:40
pl,TRUE,,1,m,0,f,22,e,c,e,b,d,a,b,c,b,b,c,c,4,3,2,6,0,2,2,1,0,6,1,5,2,0,2,1,0,3,6,2,4,7,8,9,8,6,8,7,6,8,6,Nie,0,,,b,2,single,12/29/2022 22:40:55
pl,TRUE,KG0902,1,f,0,m,21,c,b,a,b,c,e,a,a,a,c,b,a,3,5,4,5,0,2,2,0,3,5,3,3,3,2,3,4,4,2,5,0,1,5,7,8,3,5,5,9,8,6,7,Nie,0,,,b,2,single,1/6/2023 0:37:35
en,TRUE,game,1,m,3,m,32,a,d,b,c,a,d,a,b,c,a,c,c,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,6,5,6,6,6,6,6,6,Yes,1,11,,a,2,in relationship,2/6/2023 20:37:08
pl,TRUE,INSTAGRAM STUDY,1,f,5,f,20,a,a,a,a,a,e,c,c,a,a,a,c,0,1,5,1,1,1,0,0,1,0,0,0,1,1,1,0,3,1,0,1,0,6,6,3,8,6,6,7,6,8,7,Nie,0,,,a,2,other,1/28/2023 16:12:15
